Number,Ticker,Current Close,Technical Indicator,Note
2,AOS,48.45,Simple Average,50 / 200 day cross  - 5 / 10 / 20 day triple cross  - 13 / 48 day cross within 0.54% - moving average convergence divergence  -- stock is down -1% for the day
1,ARCI,1.10,Simple Average,50 / 200 day cross  - 5 / 10 / 20 day triple cross  - 13 / 48 day cross  - moving average convergence divergence within 0.00% -- stock is down -6% the last week
2,ARCI,1.10,,Relative Stregnth Index:  52 -  Stochastic Oscillator:  37 -- stock is down -6% the last week
1,ARCO,5.80,,Relative Stregnth Index:  65 -  Stochastic Oscillator:  63 -- stock is down -11% the last 3 months
2,ARCO,5.80,Simple Average,50 / 200 day cross  - 5 / 10 / 20 day triple cross  - 13 / 48 day cross within 0.18% - moving average convergence divergence  -- stock is down -11% the last 3 months
1,ARI,17.39,,Relative Stregnth Index:  62 -  Stochastic Oscillator:  82 -- stock is down 0% the last month
2,ARI,17.39,Simple Average,50 / 200 day cross  - 5 / 10 / 20 day triple cross  - 13 / 48 day cross within 0.06% - moving average convergence divergence  -- stock is down 0% the last month
1,ARIS,5.21,,Relative Stregnth Index:  52 -  Stochastic Oscillator:  69 -- stock is down -2% for the day
2,ARIS,5.21,Simple Average,50 / 200 day cross  - 5 / 10 / 20 day triple cross  - 13 / 48 day cross within 0.19% - moving average convergence divergence  -- stock is down -2% for the day
1,ARLZ,4.15,,Relative Stregnth Index:  39 -  Stochastic Oscillator:  22 -- stock is down -2% for the day
2,ARLZ,4.15,Simple Average,50 / 200 day cross  - 5 / 10 / 20 day triple cross  - 13 / 48 day cross  - moving average convergence divergence within 0.00% -- stock is down -2% for the day
1,ASH,118.30,,Relative Stregnth Index:  77 -  Stochastic Oscillator:  71 -- stock is down -1% the last month
2,ASH,118.30,Simple Average,50 / 200 day cross  - 5 / 10 / 20 day triple cross  - 13 / 48 day cross within 0.43% - moving average convergence divergence  -- stock is down -1% the last month
1,ASHR,24.88,,Relative Stregnth Index:  71 -  Stochastic Oscillator:  99 -- stock is down 0% the last 3 months
2,ASHR,24.88,Simple Average,50 / 200 day cross  - 5 / 10 / 20 day triple cross  - 13 / 48 day cross within 0.53% - moving average convergence divergence  -- stock is down 0% the last 3 months
1,ASM,1.61,Simple Average,50 / 200 day cross  - 5 / 10 / 20 day triple cross  - 13 / 48 day cross  - moving average convergence divergence within 0.00% -- stock is down -22% the last 3 months
2,ASM,1.61,,Relative Stregnth Index:  75 -  Stochastic Oscillator:  100 -- stock is down -22% the last 3 months
1,ASPS,28.19,,Relative Stregnth Index:  59 -  Stochastic Oscillator:  24 -- stock is down -10% the last 3 months
2,ASPS,28.19,Simple Average,50 / 200 day cross  - 5 / 10 / 20 day triple cross  - 13 / 48 day cross within 0.82% - moving average convergence divergence  -- stock is down -10% the last 3 months
1,ATO,74.82,Simple Average,50 / 200 day cross within 0.94% - 5 / 10 / 20 day triple cross  - 13 / 48 day cross  - moving average convergence divergence  -- stock is down -1% for the day
2,ATO,74.82,,Relative Stregnth Index:  62 -  Stochastic Oscillator:  57 -- stock is down -1% for the day
1,ATR,72.74,Simple Average,50 / 200 day cross  - 5 / 10 / 20 day triple cross  - 13 / 48 day cross  - moving average convergence divergence within 0.00% -- stock is down -5% the last 3 months
2,ATR,72.74,,Relative Stregnth Index:  43 -  Stochastic Oscillator:  31 -- stock is down -5% the last 3 months
1,ATU,26.40,Simple Average,50 / 200 day cross  - 5 / 10 / 20 day triple cross  - 13 / 48 day cross within 0.52% - moving average convergence divergence  -- stock is down -2% for the day
2,ATU,26.40,,Relative Stregnth Index:  48 -  Stochastic Oscillator:  64 -- stock is down -2% for the day
1,AUMN,0.65,Simple Average,50 / 200 day cross  - 5 / 10 / 20 day triple cross  - 13 / 48 day cross within 0.00% - moving average convergence divergence  -- stock is down -4% the last week
2,AUMN,0.65,,Relative Stregnth Index:  56 -  Stochastic Oscillator:  42 -- stock is down -4% the last week
1,AUPH,3.20,,Relative Stregnth Index:  81 -  Stochastic Oscillator:  86 -- stock is down -2% the last month
2,AUPH,3.20,Simple Average,50 / 200 day cross  - 5 / 10 / 20 day triple cross  - 13 / 48 day cross within 0.37% - moving average convergence divergence  -- stock is down -2% the last month
1,AVAL,8.39,Simple Average,50 / 200 day cross within 0.13% - 5 / 10 / 20 day triple cross  - 13 / 48 day cross  - moving average convergence divergence  -- stock is down -1% the last 3 months
2,AVAL,8.39,,Relative Stregnth Index:  54 -  Stochastic Oscillator:  56 -- stock is down -1% the last 3 months
1,AWR,43.20,,Relative Stregnth Index:  43 -  Stochastic Oscillator:  15 -- stock is down -5% the last month
2,AWR,43.20,Simple Average,50 / 200 day cross  - 5 / 10 / 20 day triple cross  - 13 / 48 day cross  - moving average convergence divergence within 0.00% -- stock is down -5% the last month
1,AXE,81.15,,Relative Stregnth Index:  50 -  Stochastic Oscillator:  20 -- stock is down -2% for the day
2,AXE,81.15,Simple Average,50 / 200 day cross  - 5 / 10 / 20 day triple cross  - 13 / 48 day cross within 0.04% - moving average convergence divergence  -- stock is down -2% for the day
1,AYT,40.10,,Relative Stregnth Index:  52 -  Stochastic Oscillator:  57 -- stock is down -2% the last 3 months
2,AYT,40.10,Simple Average,50 / 200 day cross  - 5 / 10 / 20 day triple cross  - 13 / 48 day cross within 0.03% - moving average convergence divergence  -- stock is down -2% the last 3 months
1,AZUR,0.79,,Relative Stregnth Index:  41 -  Stochastic Oscillator:  55 -- stock is down -6% for the day
2,AZUR,0.79,Simple Average,50 / 200 day cross  - 5 / 10 / 20 day triple cross  - 13 / 48 day cross  - moving average convergence divergence within 0.00% -- stock is down -6% for the day
1,B,48.57,Simple Average,50 / 200 day cross  - 5 / 10 / 20 day triple cross  - 13 / 48 day cross within 0.06% - moving average convergence divergence  -- stock is down -2% the last month
2,B,48.57,,Relative Stregnth Index:  55 -  Stochastic Oscillator:  13 -- stock is down -2% the last month
1,BAA,0.18,,Relative Stregnth Index:  37 -  Stochastic Oscillator:  33 -- stock is down -5% the last month
2,BAA,0.18,Simple Average,50 / 200 day cross  - 5 / 10 / 20 day triple cross  - 13 / 48 day cross within 0.00% - moving average convergence divergence  -- stock is down -5% the last month
1,BBVA,6.76,,Relative Stregnth Index:  46 -  Stochastic Oscillator:  29 -- stock is down -2% the last month
2,BBVA,6.76,Simple Average,50 / 200 day cross  - 5 / 10 / 20 day triple cross  - 13 / 48 day cross  - moving average convergence divergence within 0.00% -- stock is down -2% the last month
1,BCBP,13.50,,Relative Stregnth Index:  63 -  Stochastic Oscillator:  77 -- stock is down -2% for the day
2,BCBP,13.50,Simple Average,50 / 200 day cross  - 5 / 10 / 20 day triple cross  - 13 / 48 day cross  - moving average convergence divergence within 0.00% -- stock is down -2% for the day
1,BCC,24.50,Simple Average,50 / 200 day cross within 0.99% - 5 / 10 / 20 day triple cross  - 13 / 48 day cross  - moving average convergence divergence  -- stock is down -2% for the day
2,BCC,24.50,,Relative Stregnth Index:  59 -  Stochastic Oscillator:  42 -- stock is down -2% for the day
1,BDJ,8.24,,Relative Stregnth Index:  53 -  Stochastic Oscillator:  38 -- stock is down 0% for the day
2,BDJ,8.24,Simple Average,50 / 200 day cross  - 5 / 10 / 20 day triple cross  - 13 / 48 day cross  - moving average convergence divergence within 0.00% -- stock is down 0% for the day
1,BDX,174.82,,Relative Stregnth Index:  69 -  Stochastic Oscillator:  73 -- stock is down 0% for the day
2,BDX,174.82,Simple Average,50 / 200 day cross within 0.72% - 5 / 10 / 20 day triple cross  - 13 / 48 day cross  - moving average convergence divergence  -- stock is down 0% for the day
1,BF-B,45.48,Simple Average,50 / 200 day cross  - 5 / 10 / 20 day triple cross  - 13 / 48 day cross within 0.76% - moving average convergence divergence  -- stock is down -1% for the day
2,BF-B,45.48,,Relative Stregnth Index:  55 -  Stochastic Oscillator:  81 -- stock is down -1% for the day
1,BFO,15.07,,Relative Stregnth Index:  50 -  Stochastic Oscillator:  95 -- stock is down -1% the last 3 months
2,BFO,15.07,Simple Average,50 / 200 day cross  - 5 / 10 / 20 day triple cross  - 13 / 48 day cross  - moving average convergence divergence within 0.00% -- stock is down -1% the last 3 months
1,BGC,19.55,Simple Average,50 / 200 day cross  - 5 / 10 / 20 day triple cross  - 13 / 48 day cross within 0.21% - moving average convergence divergence  -- stock is down -4% for the day
2,BGC,19.55,,Relative Stregnth Index:  51 -  Stochastic Oscillator:  19 -- stock is down -4% for the day
1,BHBK,18.95,,Relative Stregnth Index:  60 -  Stochastic Oscillator:  23 -- stock is down 0% for the day
2,BHBK,18.95,Simple Average,50 / 200 day cross  - 5 / 10 / 20 day triple cross  - 13 / 48 day cross  - moving average convergence divergence within 0.00% -- stock is down 0% for the day
1,BHLB,35.55,Simple Average,50 / 200 day cross  - 5 / 10 / 20 day triple cross  - 13 / 48 day cross within 0.11% - moving average convergence divergence  -- stock is down -2% for the day
2,BHLB,35.55,,Relative Stregnth Index:  46 -  Stochastic Oscillator:  25 -- stock is down -2% for the day
1,BIL,45.73,,Relative Stregnth Index:  55 -  Stochastic Oscillator:  0 -- stock is down 0% the last 3 months
2,BIL,45.73,Simple Average,50 / 200 day cross  - 5 / 10 / 20 day triple cross  - 13 / 48 day cross within 0.00% - moving average convergence divergence  -- stock is down 0% the last 3 months
1,BJZ,15.08,,Relative Stregnth Index:  46 -  Stochastic Oscillator:  79 -- stock is down -1% the last 3 months
2,BJZ,15.08,Simple Average,50 / 200 day cross  - 5 / 10 / 20 day triple cross  - 13 / 48 day cross  - moving average convergence divergence within 0.00% -- stock is down -1% the last 3 months
1,BKT,6.22,,Relative Stregnth Index:  44 -  Stochastic Oscillator:  50 -- stock is down -2% the last 3 months
2,BKT,6.22,Simple Average,50 / 200 day cross  - 5 / 10 / 20 day triple cross  - 13 / 48 day cross within 0.00% - moving average convergence divergence  -- stock is down -2% the last 3 months
1,BKU,38.68,Simple Average,50 / 200 day cross  - 5 / 10 / 20 day triple cross  - 13 / 48 day cross within 0.44% - moving average convergence divergence  -- stock is down -2% for the day
2,BKU,38.68,,Relative Stregnth Index:  62 -  Stochastic Oscillator:  11 -- stock is down -2% for the day
1,BLBD,16.95,,Relative Stregnth Index:  69 -  Stochastic Oscillator:  78 -- stock is down -1% the last month
2,BLBD,16.95,Simple Average,50 / 200 day cross  - 5 / 10 / 20 day triple cross  - 13 / 48 day cross within 0.24% - moving average convergence divergence  -- stock is down -1% the last month
1,BLMT,27.55,,Relative Stregnth Index:  44 -  Stochastic Oscillator:  21 -- stock is down -2% for the day
2,BLMT,27.55,Simple Average,50 / 200 day cross  - 5 / 10 / 20 day triple cross  - 13 / 48 day cross  - moving average convergence divergence within 0.00% -- stock is down -2% for the day
1,BNO,15.16,,Relative Stregnth Index:  50 -  Stochastic Oscillator:  35 -- stock is down -2% the last month
2,BNO,15.16,Simple Average,50 / 200 day cross  - 5 / 10 / 20 day triple cross  - 13 / 48 day cross  - moving average convergence divergence within 0.00% -- stock is down -2% the last month
1,BOBE,56.92,,Relative Stregnth Index:  73 -  Stochastic Oscillator:  15 -- stock is down -1% for the day
2,BOBE,56.92,Simple Average,50 / 200 day cross  - 5 / 10 / 20 day triple cross  - 13 / 48 day cross within 0.89% - moving average convergence divergence  -- stock is down -1% for the day
1,BOE,12.10,Simple Average,50 / 200 day cross  - 5 / 10 / 20 day triple cross  - 13 / 48 day cross  - moving average convergence divergence within 0.00% -- stock is down -1% the last month
2,BOE,12.10,,Relative Stregnth Index:  70 -  Stochastic Oscillator:  95 -- stock is down -1% the last month
1,BONT,1.21,Simple Average,50 / 200 day cross  - 5 / 10 / 20 day triple cross  - 13 / 48 day cross  - moving average convergence divergence within 0.00% -- stock is down -7% the last week
2,BONT,1.21,,Relative Stregnth Index:  26 -  Stochastic Oscillator:  4 -- stock is down -7% the last week
1,BOOM,16.05,,Relative Stregnth Index:  53 -  Stochastic Oscillator:  32 -- stock is down -3% for the day
2,BOOM,16.05,Simple Average,50 / 200 day cross  - 5 / 10 / 20 day triple cross  - 13 / 48 day cross within 0.06% - moving average convergence divergence  -- stock is down -3% for the day
1,BORN,1.25,Simple Average,50 / 200 day cross  - 5 / 10 / 20 day triple cross  - 13 / 48 day cross  - moving average convergence divergence within 0.00% -- stock is down -5% the last week
2,BORN,1.25,,Relative Stregnth Index:  33 -  Stochastic Oscillator:  36 -- stock is down -5% the last week
1,BREW,15.05,,Relative Stregnth Index:  41 -  Stochastic Oscillator:  37 -- stock is down -17% the last 3 months
2,BREW,15.05,Simple Average,50 / 200 day cross  - 5 / 10 / 20 day triple cross  - 13 / 48 day cross  - moving average convergence divergence within 1.00% -- stock is down -17% the last 3 months
1,BRF,18.29,,Relative Stregnth Index:  52 -  Stochastic Oscillator:  0 -- stock is down -2% the last 3 months
2,BRF,18.29,Simple Average,50 / 200 day cross  - 5 / 10 / 20 day triple cross  - 13 / 48 day cross  - moving average convergence divergence within 1.00% -- stock is down -2% the last 3 months
1,BRK-A,246500.00,Simple Average,50 / 200 day cross  - 5 / 10 / 20 day triple cross  - 13 / 48 day cross  - moving average convergence divergence within 1.00% -- stock is down -1% for the day
2,BRK-A,246500.00,,Relative Stregnth Index:  51 -  Stochastic Oscillator:  1 -- stock is down -1% for the day
1,BRK-B,164.80,,Relative Stregnth Index:  54 -  Stochastic Oscillator:  3 -- stock is down 0% for the day
2,BRK-B,164.80,Simple Average,50 / 200 day cross  - 5 / 10 / 20 day triple cross  - 13 / 48 day cross within 0.33% - moving average convergence divergence  -- stock is down 0% for the day
1,BSCH,22.62,Simple Average,50 / 200 day cross  - 5 / 10 / 20 day triple cross  - 13 / 48 day cross  - moving average convergence divergence within 0.00% -- stock is down 0% the last 3 months
2,BSCH,22.62,,Relative Stregnth Index:  50 -  Stochastic Oscillator:  50 -- stock is down 0% the last 3 months
1,BSCI,21.24,,Relative Stregnth Index:  64 -  Stochastic Oscillator:  64 -- stock is down 0% the last 3 months
2,BSCI,21.24,Simple Average,50 / 200 day cross  - 5 / 10 / 20 day triple cross  - 13 / 48 day cross  - moving average convergence divergence within 0.00% -- stock is down 0% the last 3 months
1,BSCJ,21.20,Simple Average,50 / 200 day cross  - 5 / 10 / 20 day triple cross  - 13 / 48 day cross  - moving average convergence divergence within 0.00% -- stock is down -1% the last 3 months
2,BSCJ,21.20,,Relative Stregnth Index:  60 -  Stochastic Oscillator:  100 -- stock is down -1% the last 3 months
1,BSCK,21.34,,Relative Stregnth Index:  62 -  Stochastic Oscillator:  100 -- stock is down -1% the last 3 months
2,BSCK,21.34,Simple Average,50 / 200 day cross  - 5 / 10 / 20 day triple cross  - 13 / 48 day cross  - moving average convergence divergence within 0.00% -- stock is down -1% the last 3 months
1,BSCM,21.01,,Relative Stregnth Index:  61 -  Stochastic Oscillator:  90 -- stock is down -3% the last 3 months
2,BSCM,21.01,Simple Average,50 / 200 day cross  - 5 / 10 / 20 day triple cross within 0.84% of 10 day SMA; 10 day pointing up - 13 / 48 day cross  - moving average convergence divergence  -- stock is down -3% the last 3 months
1,BSCN,20.57,,Relative Stregnth Index:  52 -  Stochastic Oscillator:  85 -- stock is down -3% the last 3 months
2,BSCN,20.57,Simple Average,50 / 200 day cross  - 5 / 10 / 20 day triple cross within 0.76% of 10 day SMA; 10 day pointing up - 13 / 48 day cross  - moving average convergence divergence  -- stock is down -3% the last 3 months
1,BSJH,25.82,,Relative Stregnth Index:  47 -  Stochastic Oscillator:  86 -- stock is down 0% the last 3 months
2,BSJH,25.82,Simple Average,50 / 200 day cross  - 5 / 10 / 20 day triple cross  - 13 / 48 day cross  - moving average convergence divergence within 0.00% -- stock is down 0% the last 3 months
1,BSM,18.45,,Relative Stregnth Index:  32 -  Stochastic Oscillator:  11 -- stock is down -3% the last month
2,BSM,18.45,Simple Average,50 / 200 day cross  - 5 / 10 / 20 day triple cross within 0.37% of 10 day SMA; 10 day pointing up - 13 / 48 day cross  - moving average convergence divergence  -- stock is down -3% the last month
1,BSMX,7.10,,Relative Stregnth Index:  42 -  Stochastic Oscillator:  14 -- stock is down -23% the last 3 months
2,BSMX,7.10,Simple Average,50 / 200 day cross  - 5 / 10 / 20 day triple cross  - 13 / 48 day cross  - moving average convergence divergence within 0.00% -- stock is down -23% the last 3 months
1,BUI,19.18,,Relative Stregnth Index:  66 -  Stochastic Oscillator:  94 -- stock is down 0% for the day
2,BUI,19.18,Simple Average,50 / 200 day cross within 0.48% - 5 / 10 / 20 day triple cross  - 13 / 48 day cross  - moving average convergence divergence  -- stock is down 0% for the day
1,BVSN,4.77,Simple Average,50 / 200 day cross  - 5 / 10 / 20 day triple cross  - 13 / 48 day cross within 0.00% - moving average convergence divergence  -- stock is down -2% the last week
2,BVSN,4.77,,Relative Stregnth Index:  44 -  Stochastic Oscillator:  41 -- stock is down -2% the last week
1,BWEN,4.02,,Relative Stregnth Index:  47 -  Stochastic Oscillator:  6 -- stock is down -8% the last 3 months
2,BWEN,4.02,Simple Average,50 / 200 day cross  - 5 / 10 / 20 day triple cross  - 13 / 48 day cross  - moving average convergence divergence within 0.00% -- stock is down -8% the last 3 months
1,BYD,20.32,Simple Average,50 / 200 day cross  - 5 / 10 / 20 day triple cross  - 13 / 48 day cross within 0.86% - moving average convergence divergence  -- stock is down -1% the last month
2,BYD,20.32,,Relative Stregnth Index:  51 -  Stochastic Oscillator:  9 -- stock is down -1% the last month
1,BYLD,24.74,,Relative Stregnth Index:  50 -  Stochastic Oscillator:  66 -- stock is down -2% the last 3 months
2,BYLD,24.74,Simple Average,50 / 200 day cross within 0.49% - 5 / 10 / 20 day triple cross  - 13 / 48 day cross  - moving average convergence divergence  -- stock is down -2% the last 3 months
1,CAA,35.34,Simple Average,50 / 200 day cross  - 5 / 10 / 20 day triple cross  - 13 / 48 day cross within 0.26% - moving average convergence divergence  -- stock is down -3% for the day
2,CAA,35.34,,Relative Stregnth Index:  68 -  Stochastic Oscillator:  27 -- stock is down -3% for the day
1,CABO,633.84,Simple Average,50 / 200 day cross  - 5 / 10 / 20 day triple cross  - 13 / 48 day cross within 0.39% - moving average convergence divergence  -- stock is down -1% for the day
